Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Barrow Island Growth Zone,Professional fees,11-Apr-2019,200043362,Mellor Architects,"2,027.05"
Barrow Borough Council,Parish precepts,Parish precepts,17-Apr-2019,200043441,Lindal & Marton Parish Council,"3,398.09"
Barrow Borough Council,Barrow park,Grounds maintenance - other works,25-Apr-2019,200043490,Continental Landscapes Ltd,"4,460.57"
Barrow Borough Council,Cemeteries,Buildings repairs and maintenance,11-Apr-2019,200043350,Paul Farish,"1,100.00"
Barrow Borough Council,Emlyn Hughes house,Electricity,25-Apr-2019,200043478,NPower,845.70
Barrow Borough Council,The Ashton Group,Professional fees,11-Apr-2019,200043301,Linney PA Systems,601.76
Barrow Borough Council,Dock museum,Licences,17-Apr-2019,200043459,Axiell ALM Ltd,840.48
Barrow Borough Council,The park leisure centre,Electricity,17-Apr-2019,200043436,NPower,-729.42
Barrow Borough Council,Homelessness,Homeless support funding,11-Apr-2019,200043309,Barrow Citizens Advice Bureau,"6,787.98"
Barrow Borough Council,The park leisure centre,Electricity,17-Apr-2019,200043436,NPower,-668.95
Barrow Borough Council,Disabled Facilities Grant,Grants,17-Apr-2019,200043434,Prism Medical UK Ltd,"2,018.08"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,11-Apr-2019,200043271,Ocean Construction UK Ltd,"4,209.25"
Barrow Borough Council,Dock Museum HLF project,Staff advertising,17-Apr-2019,200043454,Newsquest Media Group,697.00
Barrow Borough Council,Cemeteries,Grounds maintenance - other works,25-Apr-2019,200043490,Continental Landscapes Ltd,"6,900.92"
Barrow Borough Council,Salthouse Road Depot,Electricity,25-Apr-2019,200043478,NPower,"1,214.08"
Barrow Borough Council,HRA administration,Professional fees,17-Apr-2019,200043460,DtL Creative Ltd,"2,400.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,25-Apr-2019,200043465,Wilko Retail Ltd,"1,320.00"
Barrow Borough Council,Ultimate Little Mix Show 13.4.19,Hire of halls,25-Apr-2019,200043548,Ultimate Events,-735.00
Barrow Borough Council,The park leisure centre,Electricity,17-Apr-2019,200043436,NPower,684.30
Barrow Borough Council,Barrow town hall,Buildings repairs and maintenance,11-Apr-2019,200043287,FTS Fire & Secuirty Ltd,510.12
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,17-Apr-2019,200043457,SIG Trading Ltd,"9,297.58"
Barrow Borough Council,Tenant demand maintenance - HRA,Gas works,11-Apr-2019,200043348,Sure Maintenance,"2,293.20"
Barrow Borough Council,Major works maintenance - HRA,Repointing Walney,17-Apr-2019,200043445,DLP Services (Northern) Ltd,"13,423.36"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,17-Apr-2019,200043411,AFM Gas Services Ltd,"2,196.36"
Barrow Borough Council,Disabled Facilities Grant,Grants,17-Apr-2019,200043435,Lee Bowron Glazing Ltd,"1,794.00"
Barrow Borough Council,Ultimate Little Mix Show 13.4.19,Admissions,25-Apr-2019,200043548,Ultimate Events,"4,184.00"
Barrow Borough Council,Forum 28,Professional fees,11-Apr-2019,200043324,Spektrix Ltd,"1,581.46"
